paper,question,answer,reference_figure,reference_figure_caption,generated_answer
1701.06171v4,What is the relationship between the variables in the Compositional Active Basis Model?,The variables in the Compositional Active Basis Model are hierarchically dependent. The variables at each layer are dependent on the variables at the layer above it.,1701.06171v4-Figure2-1.png,"The dependence structure between random variables in a Compositional Active Basis Model. (a) The simplest possible CABM, a binary-tree structured Markov random field. (b) The graphical model of a generalized multi-layer CABM (Section 3.3). We learn the full multi-layer structure of a CABM including the number of layers L, the number of parts per layer NL, . . . , N0 as well as their hierarchical dependence structure.",The Joint Attention Module takes the embedded image and phrase features as input and uses them to induce a parameterization for spatial attention. This spatial attention map is then used by the decoder to predict the common concept.
1701.06171v4,What is the difference between the hierarchical part dictionary learned with the bottom-up process and the holistic object model learned with the top-down process?,The hierarchical part dictionary learned with the bottom-up process is a set of parts that can be combined to create objects. The holistic object model learned with the top-down process is a single model that represents the entire object.,1701.06171v4-Figure5-1.png,"Learned hierarchical compositional models. (a) Samples from the training data. (b) The hierarchical part dictionary learned with our the bottom-up process. (c) The holistic object model after the top-down process. (d) The HCM learned with the HABM approach [5]. The gray squares indicate the parts of their HCM. Compared to the HABM, our method is able to learn the number of parts and layers of the hierarchy. Both approaches are not able to learn the holistic structure of the windmill due to the strong relative rotation between its parts.","The top-down compositional learning scheme starts with a holistic object model and decomposes it into smaller parts, while the bottom-up compositional learning scheme starts with basic parts and composes them into a holistic object model."
1701.06171v4,What is the difference between the top-down and bottom-up compositional learning schemes?,"The top-down compositional learning scheme starts with a holistic object model and decomposes it into smaller parts, while the bottom-up compositional learning scheme starts with basic parts and composes them into a holistic object model.",1701.06171v4-Figure3-1.png,Illustration of the joint bottom-up and top-down compositional learning scheme. During the bottom-up process (blue box) basis filters (black strokes) are grouped into higher-order parts until no further compositions are found. The subsequent top-down process (green box) composes the learned hierarchical part dictionary into a holistic object model (orange box).,The hierarchical part dictionary learned with the bottom-up process is a set of parts that can be combined to create objects. The holistic object model learned with the top-down process is a single model that represents the entire object.
1703.00060v2,"How does the discrimination in the prediction of the two-phase framework (MSG) compare to that of DI, both with and without classifier tweaking, when the sample size is 2000?","When the sample size is 2000, the two-phase framework (MSG) achieves lower discrimination in prediction compared to DI, both with and without classifier tweaking.

With classifier tweaking: MSG achieves a discrimination level of 0.016 ± 5.3E-4, while DI shows a significantly higher level of 0.095 ± 1.6E-3.
Without classifier tweaking: MSG still demonstrates lower discrimination with 0.067 ± 4.3E-3 compared to DI's 0.095 ± 1.6E-3.

This indicates that the two-phase framework is more effective in removing discrimination from predictions than DI, regardless of whether classifier tweaking is applied.",1703.00060v2-Table2-1.png,Table 2: Measured discrimination after discrimination removal (decision tree as the classifier).,The second-stage decoder $D_2$ takes soft edges $x_G$ as input and produces reconstructed frames.
1703.07015v3,Which dataset exhibits the strongest seasonality?,The Traffic dataset.,1703.07015v3-Figure3-1.png,Autocorrelation graphs of sampled variables form four datasets.,Clear weather.
1703.07015v3,What component of LSTNet is most important for its performance?,The AR component.,1703.07015v3-Figure56-1.png,Several observations from these results are worth highlighting:,"The LSTNet model has four main types of layers:

1. Convolutional layer: This layer extracts local dependency patterns from the input data. 
2. Recurrent and recurrent-skip layer: These layers capture long-term dependencies in the data. 
3. Fully connected and element-wise sum output layer: This layer combines the outputs from the convolutional and recurrent layers to produce the final prediction.
4. Autoregressive layer: This layer provides a linear bypass to the non-linear neural network part of the model. 

The convolutional layer receives the input data and passes its output to the recurrent and recurrent-skip layers. These layers then pass their output to the fully connected and element-wise sum output layer. The autoregressive layer receives the input data directly and its output is also fed into the fully connected and element-wise sum output layer."
1703.07015v3,"Which of the two models, LSTw/oAR or LST-Skip, seems to perform better in predicting electricity consumption?",LST-Skip seems to perform better in predicting electricity consumption.,1703.07015v3-Figure6-1.png,The predicted time series (red) by LSTw/oAR (a) and by LST-Skip (b) vs. the true data (blue) on Electricity dataset with horizon = 24,GB-KMV
1703.07015v3,"Which model, VAR or LSTNet, is better at capturing both daily and weekly repeating patterns in the data?",LSTNet,1703.07015v3-Figure7-1.png,"The true time series (blue) and the predicted ones (red) by VAR (a) and by LSTNet (b) for one variable in the Traffic occupation dataset. The X axis indicates the week days and the forecasting horizon = 24. VAR inadequately predicts similar patterns for Fridays and Saturdays, and ones for Sundays andMondays, while LSTNet successfully captures both the daily and weekly repeating patterns.",The AR component.
1703.07015v3,"Which dataset has the highest temporal resolution, meaning it provides data points at the most frequent intervals?",The solar dataset has the highest temporal resolution.,1703.07015v3-Table1-1.png,"Table 1: Dataset Statistics, whereT is length of time series,D is number of variables, L is the sample rate.",CaOpenData
1703.07015v3,What are the different types of layers in the LSTNet model and how are they connected?,"The LSTNet model has four main types of layers:

1. Convolutional layer: This layer extracts local dependency patterns from the input data. 
2. Recurrent and recurrent-skip layer: These layers capture long-term dependencies in the data. 
3. Fully connected and element-wise sum output layer: This layer combines the outputs from the convolutional and recurrent layers to produce the final prediction.
4. Autoregressive layer: This layer provides a linear bypass to the non-linear neural network part of the model. 

The convolutional layer receives the input data and passes its output to the recurrent and recurrent-skip layers. These layers then pass their output to the fully connected and element-wise sum output layer. The autoregressive layer receives the input data directly and its output is also fed into the fully connected and element-wise sum output layer.",1703.07015v3-Figure2-1.png,Figure 2: An overview of the Long- and Short-term Time-series network (LSTNet),The AR component.
1703.07015v3,How does the performance of LSTNet-attn vary with the horizon on the Solar-Energy dataset?,The performance of LSTNet-attn generally improves as the horizon increases on the Solar-Energy dataset. This is evident from the fact that both the RMSE and correlation values improve with increasing horizon.,1703.07015v3-Figure5-1.png,"Results of LSTNet in the ablation tests on the Solar-Energy, Traffic and Electricity dataset",The AR component.
1703.04887v4,What is the relationship between the number of Monte Carlo samples (N) and the translation performance of the BR-CSGAN model? Why is there a trade-off when choosing the value of N?,"The table and passage show that the translation performance of the BR-CSGAN model generally improves as the number of Monte Carlo samples (N) increases. However, this improvement plateaus after N reaches a certain point (around 20 in this case).

There is a trade-off when choosing the value of N because increasing N also increases the computational complexity and training time. While a higher N leads to more accurate reward estimations and better performance, it also requires more computational resources and longer training times. Therefore, choosing the optimal N involves balancing the desired performance with the available computational resources and time constraints.",1703.04887v4-Table3-1.png,"Table 3: The translation performance of the BRCSGAN with different N for Monte Carlo search. ”-” means that the proposed model shows no improvement than the pre-trained generator or it can not be trained stably. With N set as 0, it is referred to as the pretrained generator. Similarly, we only report results on the RNNSearch and λ is set as 0.7.","BR-CSGAN consistently outperforms MRT on both Chinese-English and English-German translation tasks, achieving higher BLEU scores.

While both methods optimize similar objectives, BR-CSGAN uses a reinforcement learning procedure with a dynamic discriminator to maximize rewards for the generator. This dynamic feedback seems to be more effective than the static objective and random sampling approach used by MRT, leading to better translation performance."
1703.04887v4,How does the initial accuracy of the discriminator affect the BLEU score?,The BLEU score decreases as the initial accuracy of the discriminator increases.,1703.04887v4-Figure2-1.png,BLEU score on the development set for the BR-CSGAN where the discriminators have different initial accuracy. ”0.6-acc” means the initial accuracy is 0.6. We report the results on the Chinese-English translation tasks. RNNSearch is taken as the generator.,The 1-keyword method resulted in the highest BLEU score of 0.705.
1703.04887v4,How does BR-CSGAN compare to MRT in terms of translation performance and what is the likely reason for this difference?,"BR-CSGAN consistently outperforms MRT on both Chinese-English and English-German translation tasks, achieving higher BLEU scores.

While both methods optimize similar objectives, BR-CSGAN uses a reinforcement learning procedure with a dynamic discriminator to maximize rewards for the generator. This dynamic feedback seems to be more effective than the static objective and random sampling approach used by MRT, leading to better translation performance.",1703.04887v4-Table2-1.png,Table 2: BLEU score on Chinese-English and EnglishGerman translation tasks for MRT and BR-CSGAN.,"The table and passage show that the translation performance of the BR-CSGAN model generally improves as the number of Monte Carlo samples (N) increases. However, this improvement plateaus after N reaches a certain point (around 20 in this case).

There is a trade-off when choosing the value of N because increasing N also increases the computational complexity and training time. While a higher N leads to more accurate reward estimations and better performance, it also requires more computational resources and longer training times. Therefore, choosing the optimal N involves balancing the desired performance with the available computational resources and time constraints."
1703.04887v4,"Which model and configuration achieves the best performance on the Chinese-English translation task, and how much improvement does it offer compared to the baseline RNNSearch model?",The Transformer+BR-CSGAN model with λ=0.8 achieves the best performance on the Chinese-English translation task with an average BLEU score of 42.61. This represents an improvement of 0.81 BLEU points compared to the baseline RNNSearch model.,1703.04887v4-Table1-1.png,"Table 1: BLEU score on Chinese-English and English-German translation tasks. The hyper-parameter λ is selected according to the development set. For the Transformer, following (Vaswani et al., 2017), we report the result of a single model obtained by averaging the 5 checkpoints around the best model selected on the development set.","According to Table 2, Moses achieves the highest BLEU scores among the listed translation systems (Moses, Nematus) across all language pairs. However, its performance still falls behind Google Translate (GT) in every case.

The comparison with GT might not be entirely fair because, as GT has the advantage of being trained on a significantly larger dataset. This suggests that GT's performance advantage might be partially due to its training data rather than solely its inherent capabilities."
1703.04887v4,What is the role of the discriminator (D) in the proposed BR-CSGAN model?," The discriminator (D) is responsible for distinguishing between real sentence pairs translated by humans and generated sentence pairs produced by the generator (G). It provides feedback to G in the form of rewards, helping G improve its ability to generate realistic sentence pairs.",1703.04887v4-Figure1-1.png,The Illustration of the proposed BR-CSGAN. Left: D is trained over the real sentence pairs translated by the human and the generated sentence pairs by G. Note that D is a conditional discriminator. Right: G is trained by police gradient where the final reward is provided by D and Q.,"The table and passage show that the translation performance of the BR-CSGAN model generally improves as the number of Monte Carlo samples (N) increases. However, this improvement plateaus after N reaches a certain point (around 20 in this case).

There is a trade-off when choosing the value of N because increasing N also increases the computational complexity and training time. While a higher N leads to more accurate reward estimations and better performance, it also requires more computational resources and longer training times. Therefore, choosing the optimal N involves balancing the desired performance with the available computational resources and time constraints."
1703.10730v2,What are the three goals that the proposed algorithm must achieve simultaneously?,"The three goals that the proposed algorithm must achieve simultaneously are: 
1. To predict the locations of the input patches. 
2. To generate the entire image based on the predicted locations of the input patches. 
3. To do so without any geometric priors.",1703.10730v2-Figure1-1.png,"Figure 1: The proposed algorithm is able to synthesize an image from key local patches without geometric priors, e.g., restoring broken pieces of ancient ceramics found in ruins. Convolutional neural networks are trained to predict locations of input patches and generate the entire image based on adversarial learning.",C&W-hc
1703.10730v2,How does the network's focus change as the training epoch increases?,"The network initially focuses on predicting a good mask. As the epoch increases, the input parts become sharper. Finally, the network concentrates on generating realistic images.",1703.10730v2-Figure7-1.png,Figure 7: Sample generated masks and images at different epochs.,"The LSTM-MDN network is used to learn the relationship between the gripper pose and status, the pose of relevant objects, and the joint angles of the robot arm."
1703.10730v2,What is the relationship between the input patches and the generated images?,The input patches are used to generate the images. The generator network takes the input patches as input and generates new images that are similar to the input patches.,1703.10730v2-Figure13-1.png,Image generation results with two input patches. Input 1 and 2 are local patches from the image Real.,"The presence of noise in the input image can degrade the quality of the generated images, but the proposed algorithm is still able to generate realistic images even with a certain amount of noise."
1703.10730v2,What are the inputs to the image generation network?,The inputs to the image generation network are the observed images (x) and a random noise vector (z).,1703.10730v2-Figure2-1.png,"Figure 2: Proposed network architecture. A bar represents a layer in the network. Layers of the same size and the same color have the same convolutional feature maps. Dashed lines in the part encoding network represent shared weights. In addition, E denotes an embedded vector and z is a random noise vector.",The input patches are used to generate the images. The generator network takes the input patches as input and generates new images that are similar to the input patches.
1703.10730v2,How does the presence of noise in the input image affect the quality of the generated images?,"The presence of noise in the input image can degrade the quality of the generated images, but the proposed algorithm is still able to generate realistic images even with a certain amount of noise.",1703.10730v2-Figure9-1.png,Figure 9: Examples of generated results when the input image contains noises. We add a Gaussian noise at each pixel of Input 3. Gen 1 and Gen M1 are generated without noises. Gen 2 and Gen M2 are generated with noises.,Adding Gaussian noise to the images increases the measured sparsity.
1803.03467v4,Which dataset has the most 4-hop triples?,Bing-News.,1803.03467v4-Table1-1.png,Basic statistics of the three datasets.,MedBook + MKG
1803.03467v4,How does the number of common k-hop neighbors change as the hop distance increases for items with and without common raters?,"The number of common k-hop neighbors generally decreases as the hop distance increases for both items with and without common raters. However, the number of common k-hop neighbors is consistently higher for items with common raters than for items without common raters.",1803.03467v4-Figure4-1.png,"The average number of k-hop neighbors that two items share in the KG w.r.t. whether they have common raters in (a) MovieLens-1M, (b) Book-Crossing, and (c) BingNews datasets. (d) The ratio of the two average numberswith different hops.","As the maximum link delay increases, the segment loss rate increases and the goodput decreases."
1803.03467v4,Which model performs the best in terms of AUC on the MovieLens-1M dataset?,RippleNet*,1803.03467v4-Table3-1.png,The results of AUC and Accuracy in CTR prediction.,The AUC of RippleNet first increases and then decreases with the increase of the dimension of embedding.
1803.03467v4,What is the role of the ripple sets in the RippleNet framework?,The ripple sets are used to propagate a user's preferences from his or her click history to his or her relevant entities.,1803.03467v4-Figure2-1.png,"Figure 2: The overall framework of theRippleNet. It takes one user and one item as input, and outputs the predicted probability that the user will click the item. The KGs in the upper part illustrate the corresponding ripple sets activated by the user’s click history.",The AUC of RippleNet first increases and then decreases with the increase of the dimension of embedding.
1803.03467v4,"What is the relationship between the movies ""Forrest Gump"" and ""Cast Away""?","The movies ""Forrest Gump"" and ""Cast Away"" are connected by the actor Tom Hanks.",1803.03467v4-Figure3-1.png,"Illustration of ripple sets of ""Forrest Gump"" in KG ofmovies. The concentric circles denotes the ripple setswith different hops. The fading blue indicates decreasing relatedness between the center and surrounding entities.Note that the ripple sets of different hops are not necessarily disjoint in practice.","The Silver Snatch and the Gold Snatch are positively correlated. As the Gold Snatch increases, the Silver Snatch also increases."
1803.03467v4,Which dataset has the highest AUC for all ripple set sizes?,MovieLens-1M,1803.03467v4-Table4-1.png,The results of AUC w.r.t. different sizes of a user’s ripple set.,RippleNet*
1803.03467v4,How does the dimension of embedding affect the AUC of RippleNet on MovieLens-1M?,The AUC of RippleNet first increases and then decreases with the increase of the dimension of embedding.,1803.03467v4-Figure9-1.png,Parameter sensitivity of RippleNet.,RippleNet*
1803.04572v2,Which constraint has the most significant impact on the FIT values for the CMS data set when the target rank is 15?,The smoothness constraint on $\M{U_k}$ has the most significant impact on the FIT values for the CMS data set when the target rank is 15.,1803.04572v2-Figure3-1.png,"Figure 3: Comparison of FIT for different approaches with various constraints on two target ranks R = 15 and R = 40 on real world datasets. Overall, COPA achieves comparable fit to SPARTan while supporting more constraints. The missing purple bar in the forth column is out of memory failure for Helwig method.","Model XVIII, CIG-Sim&Siam-GCN-Sim$^{g}$, achieves the best performance on the CNSS dataset with an F1-score of 90.29%. This model utilizes the following key components:

1. CIG: It directly uses keywords as concepts without community detection.
2. Sim & Siam: It employs both term-based similarity encoder (""Sim"") and Siamese encoder (""Siam"") for generating matching vectors on vertices.
3. GCN: It performs convolution on local matching vectors through GCN layers.
4. Sim$^{g}$: It incorporates additional global features based on the five term-based similarity metrics."
1803.04572v2,What are some common medications used to treat Sickle Cell Anemia?,"According to the table, some common medications used to treat Sickle Cell Anemia include:

Beta-adrenergic agents
Analgesics (narcotics and non-narcotics)
NSAIDs (cyclooxygenase inhibitor - type)
Potassium replacement
Sodium/saline preparations
General inhalation agents
Laxatives and cathartics
IV solutions (dextrose-saline)
Antiemetic/antivertigo agents
Sedative-hypnotics (non-barbiturate)
Glucocorticoids (orally inhaled)
Folic acid preparations
Analgesic narcotic anesthetic adjunct agents",1803.04572v2-Table7-1.png,Table 7: Phenotypes discovered by COPA . The red color corresponds to diagnosis and blue color corresponds to medication. The meaningfulness of phenotypes endorsed by a medical expert. No additional post-processing was performed on these results.,"The temporal patterns of phenotype magnitude differ between sickle cell anemia and leukemia patients in terms of both shape and magnitude. For sickle cell anemia patients, the patterns are generally smoother and more periodic, with lower overall magnitude. For leukemia patients, the patterns are more erratic and have higher overall magnitude."
1803.04572v2,What are the three constraints imposed by COPA on PARAFAC2 model factors?,"Non-negativity, smoothness, and sparsity.",1803.04572v2-Figure1-1.png,"An illustration of the constraints imposed by COPA on PARAFAC2 model factors, targeting temporal phenotyping via EHR data.","The three steps involved in compressed matrix factorization are: 

1. Compress the full data matrix M to obtain a compressed matrix M̃. 
2. Factorize M̃ to obtain matrices W̃ and H̃. 
3. Approximate the left factor of M via sparse recovery on each column of W̃."
1803.04572v2,How do the temporal patterns of phenotype magnitude differ between sickle cell anemia and leukemia patients?,"The temporal patterns of phenotype magnitude differ between sickle cell anemia and leukemia patients in terms of both shape and magnitude. For sickle cell anemia patients, the patterns are generally smoother and more periodic, with lower overall magnitude. For leukemia patients, the patterns are more erratic and have higher overall magnitude.",1803.04572v2-Figure8-1.png,"The temporal patterns extracted for two patients by COPA , Helwig, and SPARTan. The first row is associated with a patient who has sickle cell anemia while the second row is for a patient with Leukemia.","According to the table, some common medications used to treat Sickle Cell Anemia include:

Beta-adrenergic agents
Analgesics (narcotics and non-narcotics)
NSAIDs (cyclooxygenase inhibitor - type)
Potassium replacement
Sodium/saline preparations
General inhalation agents
Laxatives and cathartics
IV solutions (dextrose-saline)
Antiemetic/antivertigo agents
Sedative-hypnotics (non-barbiturate)
Glucocorticoids (orally inhaled)
Folic acid preparations
Analgesic narcotic anesthetic adjunct agents"
1803.04572v2,Which algorithm converged faster in both cases of target rank?,SPARTan converged faster in both cases of target rank.,1803.04572v2-Figure6-1.png,"The best convergence of COPA and SPARTan out of 5 different random initializations with non-negativity constraint on H, {Sk}, and V on CMS data with K=843,162, J=284 and maximum number of observations are 1500. Algorithms tested on different target ranks (two cases considered: R={15,40}).",F-DSS
1803.04572v2,"Which method is faster, COPA or Helwig?",COPA is faster than Helwig.,1803.04572v2-Figure7-1.png,"Time in seconds for one iteration (as an average of 5 different random initializations) for different values of R. The left figure is the comparison on CHOA and the right figure shows the comparison on CMS. For R=40 COPA achieves 32× over the Helwig approach on CHOA while for CMS dataset, execution in Helwig failed due to the excessive amount of memory request and COPA finished an iteration with the average of 224.21 seconds.",LambdaMART
1803.04572v2,Which dataset has the largest number of clinical visits per patient?,CMS,1803.04572v2-Table3-1.png,"Summary statistics of real datasets that we used in the experiments. K denotes the number of patients, J is the number of medical features and Ik denotes the number of clinical visits for kth patient.",SVHN
1704.05426v4,What are the three types of sentences that the annotators are asked to write?,"The three types of sentences are: 
1. A sentence that is definitely correct about the situation or event in the line.
2. A sentence that might be correct about the situation or event in the line.
3. A sentence that is definitely incorrect about the situation or event in the line.",1704.05426v4-Figure1-1.png,The main text of a prompt (truncated) that was presented to our annotators. This version is used for the written non-fiction genres.,"The dataset includes a rich set of annotations: scene tagging, object bounding box, lane marking, drivable area, full-frame semantic and instance segmentation, multiple object tracking, and multiple object tracking with segmentation."
1704.05426v4,Which type of word has the greatest difference in frequency of occurrence between MultiNLI and SNLI?,Negation (PTB),1704.05426v4-Table5-1.png,"Dev. Freq. is the percentage of dev. set examples that include each phenomenon, ordered by greatest difference in frequency of occurrence (Diff.) between MultiNLI and SNLI. Most Frequent Label specifies which label is the most frequent for each tag in the MultiNLI dev. set, and % is its incidence. Model Acc. is the dev. set accuracy (%) by annotation tag for each baseline model (trained on MultiNLI only). (PTB) marks a tag as derived from Penn Treebank-style parser output tags (Marcus et al., 1993).","The genre with the highest percentage of 'S' parses is **9/11**, with **99%** of its sentences receiving this parse. This is higher than the overall average for the MultiNLI corpus, which sits at **91%**."
1704.05426v4,Which model performs better on the MultiNLI dataset when considering the percentage of individual labels that match the author's label?,"SNLI performs better than MultiNLI when considering the percentage of individual labels that match the author's label. SNLI has a score of 85.8%, while MultiNLI has a score of 85.2%.",1704.05426v4-Table2-1.png,"Key validation statistics for SNLI (copied from Bowman et al., 2015) and MultiNLI.","When there is no label corruption (p = 0%), Mixup achieves the highest test accuracy of 79.77%. However, as the corruption level increases, Mixup's performance deteriorates more rapidly compared to other methods. ChoiceNet, on the other hand, demonstrates a more stable performance across different corruption levels, maintaining the highest accuracy when p is 10%, 20%, 30%, and 40%."
1704.05426v4,"Which genre in the MultiNLI corpus has the highest percentage of sentences where the Stanford Parser produced a parse rooted with an 'S' (sentence) node, and how does this compare to the overall average for the corpus?","The genre with the highest percentage of 'S' parses is **9/11**, with **99%** of its sentences receiving this parse. This is higher than the overall average for the MultiNLI corpus, which sits at **91%**.",1704.05426v4-Table3-1.png,"Table 3: Key statistics for the corpus by genre. The first five genres represent the matched section of the development and test sets, and the remaining five represent the mismatched section. The first three statistics provide the number of examples in each genre. #Wds. Prem. is the mean token count among premise sentences. ‘S’ parses is the percentage of sentences for which the Stanford Parser produced a parse rooted with an ‘S’ (sentence) node. Agrmt. is the percent of individual labels that match the gold label in validated examples. Model Acc. gives the test accuracy for ESIM and CBOW models (trained on either SNLI or MultiNLI), as described in Section 3.","The UMBC News corpus has more sentences, by approximately 60.5 million."
1704.05426v4,How does the performance of the ESIM model differ when trained on MNLI alone versus trained on both MNLI and SNLI combined?,"When trained on MNLI alone, the ESIM model achieves an accuracy of 60.7% on SNLI, 72.3% on matched genres in MNLI, and 72.1% on mismatched genres in MNLI. However, when trained on both MNLI and SNLI combined, the ESIM model's performance improves across all tasks, reaching 79.7% accuracy on SNLI, 72.4% on matched MNLI genres, and 71.9% on mismatched MNLI genres.",1704.05426v4-Table4-1.png,"Table 4: Test set accuracies (%) for all models; Match. represents test set performance on the MultiNLI genres that are also represented in the training set, Mis. represents test set performance on the remaining ones; Most freq. is a trivial ‘most frequent class’ baseline.","The model with the highest test accuracy is MTSA, with an accuracy of 86.3%. Its training time per epoch is 180s, which is faster than the training time of several other models with lower accuracy, such as Bi-LSTM (854s), Bi-GRU (850s), and DiSA (390s)."
1704.05958v2,Can you estimate the percentage of entity pairs in the NYT training set that have a corresponding relational fact in the Knowledge Base (KB)?,Approximately 6.66%.,1704.05958v2-Table1-1.png,Table 1: Statistics of the NYT dataset.,"Seq2Seq and Mem2Seq models performed poorly because they struggled to capture the semantic representations of unseen entities. This means they couldn't understand the meaning and relationships of new restaurants introduced in the KB. As a result, they were unable to accurately identify the correct restaurant and provide its address when faced with unseen entities."
1704.05958v2,Why is conventional distant supervision problematic?,Conventional distant supervision can lead to wrong labeling of textual relations with KB relations.,1704.05958v2-Figure1-1.png,"The wrong labeling problem of distant supervision, and how to combat it with global statistics. Left: conventional distant supervision. Each of the textual relations will be labeled with both KB relations, while only one is correct (blue and solid), and the other is wrong (red and dashed). Right: distant supervision with global statistics. The two textual relations can be clearly distinguished by their co-occurrence distribution of KB relations. Statistics are based on the annotated ClueWeb data released in (Toutanova et al., 2015).","The Semantic self-supervision model performs better on ReferIt (mask) compared to ReferIt (bbox) because mask-based annotations are considered more precise and accurate for measuring localization performance than bounding boxes. Masks tightly encompass the specific region referred to by the phrase, whereas bounding boxes can include extraneous areas. 

This relates to the difference in performance between Visual Genome and Flickr30k because both Visual Genome and ReferIt (mask) contain phrases that refer to very specific regions or non-salient objects. Precise localization is crucial for achieving high accuracy on these datasets. Flickr30k, on the other hand, annotates all bounding boxes referring to a phrase, leading to potentially less precise localization requirements and generally higher performance across methods. "
1704.05958v2,What is the role of the GRU cell in the embedding model?,The GRU cell is used to map a textual relation embedding to a probability distribution over KB relations.,1704.05958v2-Figure3-1.png,Embedding model. Left: A RNN with GRU for embedding. Middle: embedding of textual relation. Right: a separate GRU cell to map a textual relation embedding to a probability distribution over KB relations.,The GRU is used to process the ranked list of documents provided by a global ranking function.
1803.05776v2,Which model performs the best at SNR=0dB?,GPG-K,1803.05776v2-Figure1-1.png,"Results for the cerebellum data (a) Adjacency matrix, (b) NMSE for testing data as a function of training data size at SNR=10dB, and (c) at SNR=0dB.",ChoiceNet.
1803.06506v3,What is the role of the Joint Attention Module in the model?,The Joint Attention Module takes the embedded image and phrase features as input and uses them to induce a parameterization for spatial attention. This spatial attention map is then used by the decoder to predict the common concept.,1803.06506v3-Figure2-1.png,"Figure 2. An overview of our model for unsupervised visual grounding of phrases. The encoder takes in a set of image-phrase pairs, indexed by i, all sharing a common concept. The encoder embeds the image and the phrase to Vi and ti respectively. These features are used to induce a parametrization for spatial attention. Next, the decoder uses the visual attention map to predict the common concept. In addition, the decoder also predicts the common concept independently for each pair (i). For details, see Section 3.2.",The two types of attention mechanisms are reattention and self-attention.
1803.06506v3,"How does the quality of the output heatmap change when the selected concept, predicted concept, and the real entity to be grounded are all aligned?","When the selected concept, predicted concept, and the real entity to be grounded are all aligned, the generated heatmap produces a good localization of the phrase.",1803.06506v3-Figure6-1.png,"Figure 6. The figure shows how the quality of output heatmap changes with the alignment of the selected concept, predicted concept and the real entity to be grounded. For some sampled concept batch, the gray box refers to the chosen common concept, the red box refers to the predicted common concept and the blue box refers to the predicted independent concept. See section 10 for details about each row.",The ancillary heatmap is used to correct the labels for missing or oversegmented objects in the images.
1803.06506v3,"Why does the Semantic self-supervision model perform better on ReferIt (mask) compared to ReferIt (bbox), and how does this relate to the difference in performance between Visual Genome and Flickr30k datasets? ","The Semantic self-supervision model performs better on ReferIt (mask) compared to ReferIt (bbox) because mask-based annotations are considered more precise and accurate for measuring localization performance than bounding boxes. Masks tightly encompass the specific region referred to by the phrase, whereas bounding boxes can include extraneous areas. 

This relates to the difference in performance between Visual Genome and Flickr30k because both Visual Genome and ReferIt (mask) contain phrases that refer to very specific regions or non-salient objects. Precise localization is crucial for achieving high accuracy on these datasets. Flickr30k, on the other hand, annotates all bounding boxes referring to a phrase, leading to potentially less precise localization requirements and generally higher performance across methods. ",1803.06506v3-Table2-1.png,Table 2. Phrase grounding evaluation on 3 datasets using the pointing game metric. See Section 5 for mask vs bbox explanation for ReferIt.,Cars have the largest total number of annotations.
1803.06506v3,How does the proposed method's attention map differ from the VGG16 feature map?,"The attention map generated by proposed method is able to localize regions that were weak or non-existent in the activations of the input maps, while the VGG16 feature map simply amplifies the activations present in VGG16 channels.",1803.06506v3-Figure5-1.png,Figure 5. Comparison of VGG16 feature maps with our generated attention maps.,The saliency map method with the highest sAUC score is **SIM**. Its sAUC score appears to be significantly higher than all other methods listed in the table.
1803.06506v3,Which loss type performs best when the concept batch size is 5k?,Independent and common concept,1803.06506v3-Table3-1.png,Analysis of different surrogate losses while varying the concept batch size.,"The ""adaptive $\power \in (0, 2)$"" strategy, where each wavelet coefficient has its own shape parameter that is optimized during training, achieved the best performance in terms of average error. It reduced the average error by approximately 17% compared to the reproduced baseline."
1803.06506v3,How does the performance of the model vary with respect to the bounding box area and the similarity of the concept with ImageNet classes?,The performance of the model increases with increasing bounding box area and decreases with increasing similarity of the concept with ImageNet classes.,1803.06506v3-Figure3-1.png,Variation of performance with respect to bounding box area and similarity of concept with ImageNet classes.,The bounding box encoder network embeds bounding box information at different scales and outputs attention maps that are used to fuse with feature maps from the encoder before being passed to the decoder.
1803.06506v3,"Which dataset would you expect to be the easiest for a model to localize phrases in, and why?","Flickr30k is likely the easiest dataset for a model to localize phrases in. 
Flickr30k has the shortest average phrase length (2.3 words) and the lowest average noun count (1.2) per phrase. This suggests that the phrases in this dataset are simpler and often directly refer to single objects present in the image. This makes the localization task easier, almost approaching a weakly supervised setting where the object to be localized is explicitly named in the phrase.",1803.06506v3-Table1-1.png,Table 1. Phrase-region related statistics for datasets used in evaluation. The numbers reflect the relative complexity of these datasets.,The Transformer+BR-CSGAN model with λ=0.8 achieves the best performance on the Chinese-English translation task with an average BLEU score of 42.61. This represents an improvement of 0.81 BLEU points compared to the baseline RNNSearch model.
1704.04539v2,What is the relationship between the Silver Snatch and the Gold Snatch?,"The Silver Snatch and the Gold Snatch are positively correlated. As the Gold Snatch increases, the Silver Snatch also increases.",1704.04539v2-Figure5-1.png,Linear regression lines for silver and fullcycle.,"The movies ""Forrest Gump"" and ""Cast Away"" are connected by the actor Tom Hanks."
